timestamp_utc,task,method,accuracy,ece,n_test
2026-09-21T19:39:12.114035+00:00,noul,raw,0.9737,0.0216,836
2026-09-21T19:39:12.114035+00:00,noul,temperature(T=2.402),0.9737,0.0129,836
2026-09-21T19:39:12.114035+00:00,noul,platt,0.9761,0.0088,836
2026-09-21T19:39:12.114035+00:00,noul,isotonic,0.9749,0.0115,836
2026-09-21T19:39:12.114035+00:00,choice,raw,0.8120,0.0438,3080
2026-09-21T19:39:12.114035+00:00,choice,temperature(T=1.288),0.8120,0.0315,3080
2026-09-21T19:39:12.114035+00:00,choice,isotonic(max-conf),0.8136,0.0198,3080
2026-09-21T20:22:56.597846+00:00,noul_seed_sweep,raw(seed=42),0.9785,0.0154,836
2026-09-21T20:22:56.597846+00:00,noul_seed_sweep,"temperature(seed=42,T=1.360)",0.9785,0.0039,836
2026-09-21T20:22:56.597846+00:00,noul_seed_sweep,raw(seed=123),0.9833,0.0152,836
2026-09-21T20:22:56.597846+00:00,noul_seed_sweep,"temperature(seed=123,T=1.913)",0.9833,0.0054,836
2026-09-21T20:22:56.597846+00:00,noul_seed_sweep,raw(seed=2024),0.9785,0.0203,836
2026-09-21T20:22:56.597846+00:00,noul_seed_sweep,"temperature(seed=2024,T=1.722)",0.9785,0.0070,836
2026-09-21T20:42:30.301014+00:00,noul,raw,0.9737,0.0216,836
2026-09-21T20:42:30.301014+00:00,noul,temperature(T=2.402),0.9737,0.0129,836
2026-09-21T20:42:30.301014+00:00,noul,platt,0.9761,0.0088,836
2026-09-21T20:42:30.301014+00:00,noul,isotonic,0.9749,0.0115,836
2026-09-21T20:42:30.301014+00:00,choice,raw,0.8120,0.0438,3080
2026-09-21T20:42:30.301014+00:00,choice,temperature(T=1.288),0.8120,0.0315,3080
2026-09-21T20:42:30.301014+00:00,choice,isotonic(max-conf),0.8136,0.0198,3080
2026-09-21T20:51:37.718348+00:00,noul,raw,0.9737,0.0216,836
2026-09-21T20:51:37.718348+00:00,noul,temperature(T=2.402),0.9737,0.0129,836
2026-09-21T20:51:37.718348+00:00,noul,platt,0.9761,0.0088,836
2026-09-21T20:51:37.718348+00:00,noul,isotonic,0.9749,0.0115,836
2026-09-21T20:51:37.718348+00:00,choice,raw,0.8120,0.0438,3080
2026-09-21T20:51:37.718348+00:00,choice,temperature(T=1.288),0.8120,0.0315,3080
2026-09-21T20:51:37.718348+00:00,choice,isotonic(max-conf),0.8120,0.0189,3080
2026-09-21T20:59:20.728069+00:00,noul_seed_sweep,raw(seed=42),0.9785,0.0154,837
2026-09-21T20:59:20.728069+00:00,noul_seed_sweep,"temperature(seed=42,T=1.360)",0.9785,0.0039,837
2026-09-21T20:59:20.728069+00:00,noul_seed_sweep,raw(seed=123),0.9833,0.0152,837
2026-09-21T20:59:20.728069+00:00,noul_seed_sweep,"temperature(seed=123,T=1.913)",0.9833,0.0054,837
2026-09-21T20:59:20.728069+00:00,noul_seed_sweep,raw(seed=2024),0.9785,0.0203,837
2026-09-21T20:59:20.728069+00:00,noul_seed_sweep,"temperature(seed=2024,T=1.722)",0.9785,0.0070,837
